ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
1646,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3015,พิมาย,Phimai,301506,รังกาใหญ่,Rang Ka Yai,30110
1647,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3015,พิมาย,Phimai,301507,ชีวาน,Chiwan,30110
1648,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3015,พิมาย,Phimai,301508,นิคมสร้างตนเอง,Nikhom Sang Ton-Eng,30110
1649,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3015,พิมาย,Phimai,301509,กระชอน,Krachon,30110
1650,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3015,พิมาย,Phimai,301510,ดงใหญ่,Dong Yai,30110
1651,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3015,พิมาย,Phimai,301511,ธารละหลอด,Than Lalot,30110
1652,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3015,พิมาย,Phimai,301512,หนองระเวียง,Nong Rawiang,30110
1653,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301601,ห้วยแถลง,Huai Thalaeng,30240
1654,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301602,ทับสวาย,Thap Sawai,30240
1655,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301603,เมืองพลับพลา,Mueang Phlapphla,30240
1656,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301604,หลุ่งตะเคียน,Lung Takhian,30240
1657,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301605,หินดาด,Hin Dat,30240
1658,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301606,งิ้ว,Ngio,30240
1659,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301607,กงรถ,Kong Rot,30240
1660,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301608,หลุ่งประดู่,Lung Pradu,30240
1661,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301609,ตะโก,Tako,30240
1662,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3016,ห้วยแถลง,Huai Thalaeng,301610,ห้วยแคน,Huai Khaen,30240
1663,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301701,ชุมพวง,Chum Phuang,30270
1664,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301702,ประสุข,Prasuk,30270
1665,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301703,ท่าลาด,Tha Lat,30270
1666,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301704,สาหร่าย,Sarai,30270
1667,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301705,ตลาดไทร,Talat Sai,30270
1668,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301710,โนนรัง,Non Rang,30270
1669,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301714,หนองหลัก,Nong Lak,30270
1670,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301716,โนนตูม,Non Tum,30270
1671,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3017,ชุมพวง,Chum Phuang,301717,โนนยอ,Non Yo,30270
1672,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301801,สูงเนิน,Sung Noen,30170
1673,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301802,เสมา,Sema,30170
1674,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301803,โคราช,Khorat,30170
1675,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301804,บุ่งขี้เหล็ก,Bung Khi Lek,30170
1676,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301805,โนนค่า,Non Kha,30170
1677,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301806,โค้งยาง,Khong Yang,30170
1678,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301807,มะเกลือเก่า,Makluea Kao,30170
1679,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301808,มะเกลือใหม่,Makluea Mai,30170
1680,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301809,นากลาง,Na Klang,30380
1681,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301810,หนองตะไก้,Nong Takai,30380
1682,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3018,สูงเนิน,Sung Noen,301811,กุดจิก,Kut Chik,30380
1683,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3019,ขามทะเลสอ,Kham Thale So,301901,ขามทะเลสอ,Kham Thale So,30280
1684,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3019,ขามทะเลสอ,Kham Thale So,301902,โป่งแดง,Pong Daeng,30280
1685,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3019,ขามทะเลสอ,Kham Thale So,301903,พันดุง,Phan Dung,30280
1686,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3019,ขามทะเลสอ,Kham Thale So,301904,หนองสรวง,Nong Suang,30280
1687,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3019,ขามทะเลสอ,Kham Thale So,301905,บึงอ้อ,Bueng O,30280
1688,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302001,สีคิ้ว,Sikhio,30140
1689,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302002,บ้านหัน,Ban Han,30140
1690,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302003,กฤษณา,Kritsana,30140
1691,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302004,ลาดบัวขาว,Lat Bua Khao,30340
1692,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302005,หนองหญ้าขาว,Nong Ya Khao,30140
1693,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302006,กุดน้อย,Kut Noi,30140
1694,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302007,หนองน้ำใส,Nong Nam Sai,30140
1695,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302008,วังโรงใหญ่,Wang Rong Yai,30140
1696,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302009,มิตรภาพ,Mittraphap,30140
1697,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302010,คลองไผ่,Khlong Phai,30340
1698,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302011,ดอนเมือง,Don Mueang,30140
1699,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3020,สีคิ้ว,Si Khio,302012,หนองบัวน้อย,Nong Bua Noi,30140
1700,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302101,ปากช่อง,Pak Chong,30130
1701,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302102,กลางดง,Klang Dong,30320
1702,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302103,จันทึก,Chan Thuek,30130
1703,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302104,วังกะทะ,Wang Katha,30130
1704,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302105,หมูสี,Mu Si,30130
1705,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302106,หนองสาหร่าย,Nong Sarai,30130
1706,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302107,ขนงพระ,Khanong Phra,30130
1707,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302108,โป่งตาลอง,Pong Ta Long,30130
1708,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302109,คลองม่วง,Khlong Muang,30130
1709,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302110,หนองน้ำแดง,Nong Nam Daeng,30130
1710,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302111,วังไทร,Wang Sai,30130
1711,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3021,ปากช่อง,Pak Chong,302112,พญาเย็น,Phaya Yen,30320
1712,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302201,หนองบุนนาก,Nong Bunnak,30410
1713,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302202,สารภี,Saraphi,30410
1714,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302203,ไทยเจริญ,Thai Charoen,30410
1715,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302204,หนองหัวแรต,Nong Hua Raet,30410
1716,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302205,แหลมทอง,Laem Thong,30410
1717,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302206,หนองตะไก้,Nong Takai,30410
1718,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302207,ลุงเขว้า,Lung Khwao,30410
1719,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302208,หนองไม้ไผ่,Nong Mai Phai,30410
1720,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3022,หนองบุญมาก,Nong Bunmak,302209,บ้านใหม่,Ban Mai,30410
1721,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3023,แก้งสนามนาง,Kaeng Sanam Nang,302301,แก้งสนามนาง,Kaeng Sanam Nang,30440
1722,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3023,แก้งสนามนาง,Kaeng Sanam Nang,302302,โนนสำราญ,Non Samran,30440
1723,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3023,แก้งสนามนาง,Kaeng Sanam Nang,302303,บึงพะไล,Bueng Phalai,30440
1724,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3023,แก้งสนามนาง,Kaeng Sanam Nang,302304,สีสุก,Si Suk,30440
1725,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3023,แก้งสนามนาง,Kaeng Sanam Nang,302305,บึงสำโรง,Bueng Samrong,30440
1726,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3024,โนนแดง,Non Daeng,302401,โนนแดง,Non Daeng,30360
1727,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3024,โนนแดง,Non Daeng,302402,โนนตาเถร,Non Ta Then,30360
1728,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3024,โนนแดง,Non Daeng,302403,สำพะเนียง,Sam Phaniang,30360
1729,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3024,โนนแดง,Non Daeng,302404,วังหิน,Wang Hin,30360
1730,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3024,โนนแดง,Non Daeng,302405,ดอนยาวใหญ่,Don Yao Yai,30360
1731,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3025,วังน้ำเขียว,Wang Nam Khiao,302501,วังน้ำเขียว,Wang Nam Khiao,30370
1732,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3025,วังน้ำเขียว,Wang Nam Khiao,302502,วังหมี,Wang Mi,30370
1733,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3025,วังน้ำเขียว,Wang Nam Khiao,302503,ระเริง,Raroeng,30150
1734,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3025,วังน้ำเขียว,Wang Nam Khiao,302504,อุดมทรัพย์,Udom Sap,30370
1735,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3025,วังน้ำเขียว,Wang Nam Khiao,302505,ไทยสามัคคี,Thai Samakkhi,30370
1736,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3026,เทพารักษ์,Thepharak,302601,สำนักตะคร้อ,Samnak Takhro,30210
1737,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3026,เทพารักษ์,Thepharak,302602,หนองแวง,Nong Waeng,30210
1738,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3026,เทพารักษ์,Thepharak,302603,บึงปรือ,Bueng Prue,30210
1739,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3026,เทพารักษ์,Thepharak,302604,วังยายทอง,Wang Yai Thong,30210
1740,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3027,เมืองยาง,Mueang Yang,302701,เมืองยาง,Mueang Yang,30270
1741,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3027,เมืองยาง,Mueang Yang,302702,กระเบื้องนอก,Krabueang Nok,30270
1742,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3027,เมืองยาง,Mueang Yang,302703,ละหานปลาค้าว,Lahan Pla Khao,30270
1743,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3027,เมืองยาง,Mueang Yang,302704,โนนอุดม,Non Udom,30270
1744,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3028,พระทองคำ,Phra Thong Kham,302801,สระพระ,Sa Phra,30220
1745,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3028,พระทองคำ,Phra Thong Kham,302802,มาบกราด,Map Krat,30220
1746,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3028,พระทองคำ,Phra Thong Kham,302803,พังเทียม,Phang Thiam,30220
1747,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3028,พระทองคำ,Phra Thong Kham,302804,ทัพรั้ง,Thap Rang,30220
1748,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3028,พระทองคำ,Phra Thong Kham,302805,หนองหอย,Nong Hoi,30220
1749,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3029,ลำทะเมนชัย,Lamtaman Chai,302901,ขุย,Khui,30270
1750,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3029,ลำทะเมนชัย,Lamtaman Chai,302902,บ้านยาง,Ban Yang,30270
1751,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3029,ลำทะเมนชัย,Lamtaman Chai,302903,ช่องแมว,Chong Maeo,30270
1752,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3029,ลำทะเมนชัย,Lamtaman Chai,302904,ไพล,Phrai,30270
1753,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3030,บัวลาย,Bua Lai,303001,เมืองพะไล,Mueang Phalai,30120
1754,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3030,บัวลาย,Bua Lai,303002,โนนจาน,Non Chan,30120
1755,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3030,บัวลาย,Bua Lai,303003,บัวลาย,Bua Lai,30120
1756,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3030,บัวลาย,Bua Lai,303004,หนองหว้า,Nong Wa,30120
1757,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3031,สีดา,Sida,303101,สีดา,Sida,30430
1758,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3031,สีดา,Sida,303102,โพนทอง,Phon Thong,30430
1759,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3031,สีดา,Sida,303103,โนนประดู่,Non Pradu,30430
1760,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3031,สีดา,Sida,303104,สามเมือง,Sam Mueang,30430
1761,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3031,สีดา,Sida,303105,หนองตาดใหญ่,Nong Tat Yai,30430
1762,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3032,เฉลิมพระเกียรติ,Chaloem Phra Kiet,303201,ช้างทอง,Chang Thong,30230
1763,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3032,เฉลิมพระเกียรติ,Chaloem Phra Kiet,303202,ท่าช้าง,Tha Chang,30230
1764,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3032,เฉลิมพระเกียรติ,Chaloem Phra Kiet,303203,พระพุทธ,Phraphut,30230
1765,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3032,เฉลิมพระเกียรติ,Chaloem Phra Kiet,303204,หนองงูเหลือม,Nong Ngu Lueam,30000
1766,ภาคตะวันออกเฉียงเหนือ,30,นครราชสีมา,Nakhon Ratchasima,3032,เฉลิมพระเกียรติ,Chaloem Phra Kiet,303205,หนองยาง,Nong Yang,30230
1767,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310101,ในเมือง,Nai Mueang,31000
1768,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310102,อิสาณ,I San,31000
1769,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310103,เสม็ด,Samet,31000
1770,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310104,บ้านบัว,Ban Bua,31000
1771,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310105,สะแกโพรง,Sakae Phrong,31000
1772,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310106,สวายจีก,Sawai Chik,31000
1773,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310108,บ้านยาง,Ban Yang,31000
1774,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310112,พระครู,Phrakhru,31000
1775,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310113,ถลุงเหล็ก,Thalung Lek,31000
1776,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310114,หนองตาด,Nong Tat,31000
1777,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310117,ลุมปุ๊ก,Lumpuk,31000
1778,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310118,สองห้อง,Song Hong,31000
1779,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310119,บัวทอง,Bua Thong,31000
1780,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310120,ชุมเห็ด,Chum Het,31000
1781,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310122,หลักเขต,Lak Khet,31000
1782,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310125,สะแกซำ,Sakae Sam,31000
1783,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310126,กลันทา,Kalantha,31000
1784,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310127,กระสัง,Krasang,31000
1785,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3101,เมืองบุรีรัมย์,Mueang Buri Ram,310128,เมืองฝาง,Mueang Fang,31000
1786,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3102,คูเมือง,Khu Mueang,310201,คูเมือง,Khu Mueang,31190
1787,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3102,คูเมือง,Khu Mueang,310202,ปะเคียบ,Pakhiap,31190
1788,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3102,คูเมือง,Khu Mueang,310203,บ้านแพ,Ban Phae,31190
1789,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3102,คูเมือง,Khu Mueang,310204,พรสำราญ,Phon Samran,31190
1790,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3102,คูเมือง,Khu Mueang,310205,หินเหล็กไฟ,Hin Lek Fai,31190
1791,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3102,คูเมือง,Khu Mueang,310206,ตูมใหญ่,Tum Yai,31190
1792,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3102,คูเมือง,Khu Mueang,310207,หนองขมาร,Nong Khaman,31190
1793,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310301,กระสัง,Krasang,31160
1794,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310302,ลำดวน,Lamduan,31160
1795,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310303,สองชั้น,Song Chan,31160
1796,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310304,สูงเนิน,Sung Noen,31160
1797,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310305,หนองเต็ง,Nong Teng,31160
1798,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310306,เมืองไผ่,Mueang Phai,31160
1799,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310307,ชุมแสง,Chum Saeng,31160
1800,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310308,บ้านปรือ,Ban Prue,31160
1801,ภาคตะวันออกเฉียงเหนือ,31,บุรีรัมย์,Buri Ram,3103,กระสัง,Krasang,310309,ห้วยสำราญ,Huai Samran,31160
