ลำดับ,ภูมิภาค,รหัสจังหวัด,จังหวัด (ไทย),จังหวัด (อังกฤษ),รหัสอำเภอ,อำเภอ/เขต (ไทย),อำเภอ/เขต (อังกฤษ),รหัสตำบล,ตำบล/แขวง (ไทย),ตำบล/แขวง (อังกฤษ),รหัสไปรษณีย์
41,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,100803,คลองมหานาค,Khlong Maha Nak,10100
42,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,100804,บ้านบาตร,Ban Bat,10100
43,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1008,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,100805,วัดโสมนัส,Wat Sommanat,10100
44,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1009,พระโขนง,Phra Khanong,100905,บางจาก,Bang Chak,10260
45,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1009,พระโขนง,Phra Khanong,100910,พระโขนงใต้,Phra Khanong Tai,10260
46,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1010,มีนบุรี,Min Buri,101001,มีนบุรี,Min Buri,10510
47,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1010,มีนบุรี,Min Buri,101002,แสนแสบ,Saen Saep,10510
48,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1011,ลาดกระบัง,Lat Krabang,101101,ลาดกระบัง,Lat Krabang,10520
49,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1011,ลาดกระบัง,Lat Krabang,101102,คลองสองต้นนุ่น,Khlong Song Ton Nun,10520
50,ภาคกลาง,10,กรุงเทพมหานคร,Bangkok,1011,ลาดกระบัง,Lat Krabang,101103,คลองสามประเวศ,Khlong Sam Prawet,10520
